Problem,MOGA,MOGA Bonus,Crowding,Crowding + epsilon,Crowding + HV
ZDT1,0.0153873,6.9226e-05,2.4035e-05,5.4242e-05,2.0311e-05
ZDT2,0.0339345,7.8405e-05,2.4906e-05,5.878e-05,2.7552e-05
ZDT3,0.0135702,0.00169625,0.000137657,0.000161242,0.000137711
ZDT4,1.68026,0.07781,0.0725034,0.0725631,0.0725033
ZDT6,0.206279,0.00158274,0.000153783,0.000168422,0.000153783
