Problem,MOGA,MOGA Bonus,Crowding,Crowding + epsilon,Crowding + HV
ZDT1,0.22163,0.000407961,7.407e-05,0.000114416,5.6005e-05
ZDT2,0.36434,0.000398918,3.0551e-05,4.9583e-05,3.0317e-05
ZDT3,0.196877,0.000377693,5.4801e-05,0.000111489,5.435e-05
ZDT4,26.8802,0.0608901,0.0567995,0.0783581,0.0557833
ZDT6,1.56325,0.00377441,2.7082e-05,5.4976e-05,2.7091e-05
