Problem,MOGA,MOGA Bonus,Crowding,Crowding + epsilon,Crowding + HV
ZDT1,0.0530513,0.00021174,0.000127297,0.000140351,0.000127297
ZDT2,0.0950898,0.000228288,0.000153717,0.000161669,0.000153717
ZDT3,0.0448019,0.000542508,0.000252595,0.000260998,0.000252595
ZDT4,12.6983,0.981946,1.16444,1.16444,1.16444
ZDT6,0.286623,0.0219511,0.0220516,0.0220516,0.0220516
